Company,Link,Link-Count,DocURL,Error
Harley Davidson Inc,https://investor.harley-davidson.com/financials/sec-filings?field_nir_sec_form_group_target_id%5B%5D=471&field_nir_sec_date_filed_value=#views-exposed-form-widget-sec-filings-table,0.0,,
Hartford Financial Services Group Inc.,https://ir.thehartford.com/financial-information/annual-reports-and-proxy-statements/default.aspx,0.0,,
Hasbro Inc.,https://investor.hasbro.com/financial-information/annual-reports,29.0,,
Hawaiian Electric Inds,https://www.hei.com/investor-relations/reports-and-filings/default.aspx#annual,0.0,,
HCA Healthcare Inc,https://investor.hcahealthcare.com/financials/annual-reports/default.aspx,0.0,,
Hd Supply Holdings Inc,Web Site Not Found,,https://docs.hasbro.com/upload/legal/responsible_disclosure_2020.pdf,"Message: invalid argument
  (Session info: chrome=119.0.6045.107)
Stacktrace:
	GetHandleVerifier [0x00E572A3+45731]
	(No symbol) [0x00DE2D51]
	(No symbol) [0x00CD86D0]
	(No symbol) [0x00CCAFEB]
	(No symbol) [0x00CC98EE]
	(No symbol) [0x00CC9ED8]
	(No symbol) [0x00CDA5B3]
	(No symbol) [0x00D3BD41]
	(No symbol) [0x00D27FDC]
	(No symbol) [0x00D3B7A2]
	(No symbol) [0x00D27DD6]
	(No symbol) [0x00D031F6]
	(No symbol) [0x00D0439D]
	GetHandleVerifier [0x01160716+3229462]
	GetHandleVerifier [0x011A84C8+3523784]
	GetHandleVerifier [0x011A214C+3498316]
	GetHandleVerifier [0x00EE1680+611968]
	(No symbol) [0x00DECCCC]
	(No symbol) [0x00DE8DF8]
	(No symbol) [0x00DE8F1D]
	(No symbol) [0x00DDB2C7]
	BaseThreadInitThunk [0x75CF6A39+25]
	RtlGetFullPathName_UEx [0x77D57D1D+173]
	RtlGetFullPathName_UEx [0x77D57CEB+123]
"
Healthcare Tr Amer Inc,http://ir.htareit.com/filings/documents/default.aspx,0.0,,
Healthpeak Properties Inc.,https://ir.healthpeak.com/annual-reports-and-proxy-statements,0.0,,
Heico Corp Cl A,https://www.heico.com/investors/annual-reports/,40.0,,
Heico Corp Common,https://www.heico.com/investors/annual-reports/,40.0,,
Helmerich & Payne Inc,https://ir.helmerichpayne.com/websites/helmerichandpayne/English/3100.html,92.0,,
Henry Schein Inc.,https://investor.henryschein.com/annual-reports,0.0,,
Herbalife Nutrition Ltd,https://ir.herbalife.com/company-information/annual-reports,44.0,,
Hershey Company,https://investors.thehersheycompany.com/en_us/home/reports-and-filings/annual-reports.html,2.0,,
Hess Corporation,https://investors.hess.com/Annual-Reports,23.0,,
Hewlett Packard Enterprise Co.,https://investors.hpe.com/financial/annual-reports,26.0,,
Hexcel Corp,https://investors.hexcel.com/financials/annual-reports/default.aspx,0.0,,
Highwoods Properties Inc,https://www.highwoods.com/for-our-investors/press-and-news/presentations,13.0,,
Hill-Rom Holdings Inc,https://ir.hill-rom.com/financials/default.aspx#section=annual,0.0,,
Hilton Worldwide Holdings Inc,https://ir.hilton.com/financial-reporting/annual-reports,12.0,,
"Hitachi, Ltd.",https://www.hitachi.com/IR-e/library/integrated/2020/index.html,,https://ir.hilton.com/~/media/Files/H/Hilton-Worldwide-IR-V3/annual-report/1948-Annual-Report.pdf,"Message: stale element reference: stale element not found
  (Session info: chrome=119.0.6045.107)
Stacktrace:
	GetHandleVerifier [0x00E572A3+45731]
	(No symbol) [0x00DE2D51]
	(No symbol) [0x00CD880D]
	(No symbol) [0x00CE2B8F]
	(No symbol) [0x00CDCB76]
	(No symbol) [0x00CDB838]
	(No symbol) [0x00CDDB1A]
	(No symbol) [0x00CDDB57]
	(No symbol) [0x00CDDBC0]
	(No symbol) [0x00D0D3FB]
	(No symbol) [0x00D3C7A5]
	(No symbol) [0x00D27FDC]
	(No symbol) [0x00D3B7A2]
	(No symbol) [0x00D27DD6]
	(No symbol) [0x00D031F6]
	(No symbol) [0x00D0439D]
	GetHandleVerifier [0x01160716+3229462]
	GetHandleVerifier [0x011A84C8+3523784]
	GetHandleVerifier [0x011A214C+3498316]
	GetHandleVerifier [0x00EE1680+611968]
	(No symbol) [0x00DECCCC]
	(No symbol) [0x00DE8DF8]
	(No symbol) [0x00DE8F1D]
	(No symbol) [0x00DDB2C7]
	BaseThreadInitThunk [0x75CF6A39+25]
	RtlGetFullPathName_UEx [0x77D57D1D+173]
	RtlGetFullPathName_UEx [0x77D57CEB+123]
"
Hollyfrontier Corp,https://investor.hollyfrontier.com/investor-relations/financial-information/annual-reports-and-proxy/default.aspx,0.0,,
Hologic Inc.,https://investors.hologic.com/financials/annual-reports/default.aspx,0.0,,
Hon Hai Precision Industry,https://www.foxconn.com/en-us/investor-relations/financial-information/annual-reports,15.0,,
Honda Motor Company,https://global.honda/investors/library/form20_f.html,19.0,,
Honeywell,https://investor.honeywell.com/sec-filings-and-reports/archived-reports/default.aspx,4.0,,
